"Sub Publisher",Attributions
57999,44
58029,27
58082,1
58103,1
58253,1
58287,1
58320,4
58408,1
58411,1
58435,1
58751,1
58805,4
59072,3
59289,1
59308,1
59319,13
59385,2
59542,1
59606,1
5967a0e9241c8ff3ae30c43e79cca3889aacfb1c,1
59720,1
5a201ee6cf45fae62097c13e2110badbcc517551,2
5a8a723498f3aa583ae5ff77d1b064f3fca19ad3,1
5da9ad66f49f8714e38a83b765ffaf4c036aa54d,1
60077,1
60186,4
60301,2
60318,86
60475,10
60498,3
60617,1
60780,15
61088,2
61142,1
61143,20
61317,2
61378,12
61396,2
61404,1
61473,116
61791,2
61793,2
61816,7
61891,1
61948,5
62056,1
62064,2
62102,1
62125,4
62186,1
62213,1
62262,2
62289,1
62303,3
62365,2
62378,34
62680,1
62814,1
62874,1
63019,11
63140,1
63248,20
63255,21
63317,1
63367,125
63379,5
63417,49
63493,1
63563,1
63689,1
63729,1
63742,5
63885,2
63935,222
64004,4
64082,10
64137,164
64261,5
64310,2
64385,3
64405,1
64645,2
64934,1
65242,1
65355,39
65356,36
65470,1
65480,1
65501,3
65562,1
65840,2
65844,1
65952,1
66137,29
66164,4
66209,1
66213,1
66226,4
66357,1
66378,1
66438,4
66440,1
66515,1
66520,1
66674,15
66811,11
67045,1
67054,1
6733ce4e02b7ffbf0f51088e48d11406de6d7ec0,1
67922,82
67962,2
68135,1
68546,71
685d66ab56c8c1b5193ff51b48bc50eb08483a0d,5
68610,1
68673,1
68697,10
68718,8
68906,1
69110,1
69149,900
69347,3
69546,2
69567,14
69633,3
69872,18
69954,46
69984,1
6c9f9cf5b6ad9a289cbf2dc7874a536dd7fc6b7c,1
6d2121dce32bb9321358c11ff572bd970908a028,1
70063,3
70147,1
70154,1
70203,51
70537,1
70821,1
70913,3
70923,8
70961,2
70a95e567b49b1341aec37d76ec791cf1466a0a4,1
71069,1
71152,1
71166,1
71430,400
71445,3
71453,1
71460,1
71461,1
71503,5
71656,118
71749,1
71810,2
71865,4
71929,80
72062,19
72136,18
